worker_id,task_id,task_response_id,is_reviewed,review_score,tweet_id,text,username,bio,Categorize the tweet
Z6J69GNZYEXY,4ba6a1bb-dad0-43ff-8153-426722acb065,057765ec-d41e-42d7-bd3e-c1fcecccc3cf,false,,1540795813361844224,34 yrs ago my wife had cancer in womb and uterus she was pregnant doctor suggested abortion so he could operate to… https://t.co/9QninfZMLt,head10_head,"66 male conservative. Grampa family,country not looking for companion              don't pm.maga proud here Jesus is needed ifbap",Pro-life
FPMCK2P37RW2,4136ef7c-3664-4f3a-8ea0-5ea834a8695e,058ea01e-6bea-46f9-928a-aa85dadb75ec,false,,1540796215431929856,@FoxNews Roe v wade was unconstitutional and should have never been in place to begin with.,demsaredolts,"Fuck democrats, their anti-American policies are bad for our country",Pro-life
FPMCK2P37RW2,6c0138c1-7a27-40e4-8d8a-4ad639f64cf6,05a27056-043c-4cbc-beb2-7c3254bcdbc7,false,,1540795210766004230,@Rosebid2 @MariahCarey You don’t have to be sorry. Roe vs Wade came out of the deaths of many women who were gettin… https://t.co/SYSUJW9xLA,Terry1sm,"I am a kind, compassionate person. I love our Country. I am an avid animal lover. I have a great love for horses.",Pro-choice
VME4939DFDXR,7ea52297-2891-4944-a4d7-57a57f6a9a0c,05c47294-1f47-482b-95a9-2f8c0ac8478f,false,,1540796167545622528,@galaxysearchers @americanstorm @dangerouserayo @GrethanIlenya @dylanobrien abortion isn’t murder lmao. murder is t… https://t.co/qkAv7mBFYy,tootireads,"defending marbs online isn’t enough, i need a gun #1 marbs fan | cr: the secret history",Pro-choice
FPMCK2P37RW2,4cb0ec76-214f-4477-891d-cdbb27cb0e38,05d9fa0b-e41c-4afd-a816-96170fc75a83,false,,1540795693941436418,@esmemurphy @drscottjensen @GovTimWalz Here’s the thing abortion rights is a man-made thought up movement while God… https://t.co/6QhLUM53zF,Silent_Majo,"100% American. Constitutionalist Common sense applies. Veteran, Supports the already pre-existing laws of the land. #ULTRAMAGA follower.",Pro-life
DPNAMHPJRREC,43f045c0-3ecb-457c-83bd-dbbb0e6d1848,06945fb2-8bdd-4320-884b-8a81de114033,false,,1540796331446267904,@JenRourke29 Roe v Wade represents the hate a lot of men have for women. 💯,yessin65,"Gods Beautiful Grace, the Love of Family and a Good laugh. Brings much Joy and Happiness. 💚",Pro-choice
Z6J69GNZYEXY,4df5d655-1185-4a15-9a1d-cefda249f645,06c5b9b7-58df-4beb-b4b9-00ebf5abb488,false,,1540796937930248192,"Just heard about Roe V Wade 😔 that’s messed up (I’m single, well dressed, and have a vasectomy btw)",Jesus_Falco16,He/Him | GA Smash Ultimate player| Athens Summer TO| 6th best purple falco at UGA,Pro-choice
CTV7T3VTNXXF,84d7e1fb-37bd-49cc-aae0-5acee8ea69fe,0701c634-dbfc-41d4-a2c5-d985c37379c1,false,,1540795858748428288,"@kxntie @karlarod_ So you say ""where people can make their own decisions"" then say you're against abortion looks li… https://t.co/H24cUM6wHV",stevencrouch211,,Pro-choice
7R2NKCJQNXPP,7e6cc8de-429d-4cd5-8082-82150ea22701,07216ca1-9f0a-4e13-a7b5-bdc1e15b42f7,false,,1540795946589626368,@RepValDemings How did you become a mother and grandmother seeing you are all for abortion ?,ChaWheelman,,Pro-life
R7XYZ4FKMFF9,22845e55-46fd-407c-9153-9db224f1d91d,07603280-5b7f-4980-bcb9-591944125503,false,,1540796128018386944,"(her logic was that abortion is an invasive procedure forced on women, very often women who are minorities or are c… https://t.co/uqNDUo2SX6",sapphicvik,I wish I could be a girl in that way you wish I could be your girlfriend/boyfriend,Pro-choice
R7XYZ4FKMFF9,92ea47c5-0d88-4d2c-904d-c13f459da20f,076e9f2f-3ca8-4600-a1c6-8ae745e72a48,false,,1540795138577817601,@JaneyGodley The problem is that reproductive rights have been under attack in the US for decades. They played a lo… https://t.co/pLlpjKgmew,trishintheuk,Feminist; she/her; back in the UK after 22yrs; Mom/Mum of a special daughter with a traumatic brain injury #TBI #BLM #PRIDE @trishbutlerauth #RedwayAcres,Pro-choice
FPMCK2P37RW2,cd3ed133-44b5-4373-8602-6a9ad640d698,079c4669-9cdc-4d6f-8fb1-1f31a07e846a,false,,1540796094862458880,@JessicaCoblentz Abortion kills twice. It kills the body of the baby and it kills the conscience of the mother. Abo… https://t.co/zZdVahGE3I,JAROSLAWBOLBOT1,This world needs a heck of a lot more common sense. Especially Common Sense Catholicism. https://t.co/9XdaOhhC5U,Pro-life
WYWGJAYCCA6D,13560a38-e79b-4ef4-b6dc-ce181acbfac5,0807d322-9052-45fa-8b0b-7b3f91c1b5d5,false,,1540795994173874176,@M_S_V_Miller @br00t4lism Aside from the fact that there were many places in the US where abortions were made purpo… https://t.co/T0rJXbvJoM,afcbackman,,Pro-choice
DPNAMHPJRREC,51ea8b42-ad80-4d39-ad18-9b0bbe77846a,0820e625-b525-4cf2-9b15-48308bd5513e,false,,1540784371082346497,For context this happened when I told multiple people who cheered the Roe VS Wade decision to shut the fuck up.,crypticpanther,"Husband, Gamer, Geek.",Pro-choice
7R2NKCJQNXPP,2cc228c7-3346-4f49-a569-a4bba1435795,087dcb27-a961-43b0-bd64-149afd6cc24f,false,,1540796205415878657,@ConverseProLife @JetsFan1966 @StudentsforLife And a pregnant person who wants to continue a pregnancy eventually g… https://t.co/Gtgl4XcyVz,CoalitionRights,,Pro-choice
XJKGQQWFXKTX,5185c370-5fd6-4547-a3e9-5cafa0301780,08857040-6578-4047-a85b-a3fedaa22def,false,,1540795937026723841,"@shaydeofgold I know a woman who knew her baby could not live outside the uterus, but chose to bring the pregnancy… https://t.co/gVjNYm7KtY",jenyferk7,Proud to be a bleeding heart liberal. Am a true believer in Occam’s Razor and lend no time to conspiracy theories. Love animals and actively support @PSPCA,Pro-choice
2AZWNZRTVACE,1c4c45de-ead1-4123-a87d-43f3eea6a48c,092118a5-9a2a-48ed-8ad3-6e2fa58d16c8,false,,1540794874643054594,Agreed! American values: diversity &amp; separation of Church &amp; State. What’s so appalling is that “Dark Money” which b… https://t.co/oWYDq8baGj,RachelAnnScott1,"MD*muckraker*writer-artist/photographer Once optimist—now praying for peace, environment & equality; that climate change/nuc war/dumb Gov doesn’t kill us all!",Pro-choice
R7XYZ4FKMFF9,7efca394-4ce2-40fe-8299-1972cf20c336,0994b00f-4c24-4a29-a0fb-644c0f9e6122,false,,1540795996602376192,"fb friend went off on me when the draft leaked for suggesting ""pro choice"" people were way more ready to help peopl… https://t.co/g8cxGUDizO",JQAForPresident,"Ex-Anglican Roman Catholic still convinced the best liturgical alternative to the vernacular is not Latin, but Church Slavonic.",Pro-life
CTV7T3VTNXXF,f8faf79c-3fb1-4e17-9ed6-879b89db1909,09f35aff-ac55-4fd4-ba58-017f031be1c7,false,,1540794154757763073,Roe v. Wade: Megan Rapinoe slams decision as ‘violent onslaught on women’s bodies’ https://t.co/SeIX89TFW0,academie_educ,🎓,Pro-choice
FPMCK2P37RW2,356d8e59-924b-490b-b1aa-c1a132d3f09c,09fe3f4e-ab3b-4472-a002-bc2322d56348,false,,1540796193122373632,"w// suicide
-
-
-
never rlly explicitly told anyone this bc it doesn’t weigh on me at all but when i thought i was… https://t.co/0xzxAV6Wdy",garfondoe,AIN’T IT FUNNY HOW IT HAPPENS,Pro-choice
7R2NKCJQNXPP,520ce054-cb46-4463-b18e-70ae19aeb97b,0a3a198e-5db1-4106-b3a0-42645aad7b40,false,,1540796144380436480,@BNNBreaking This push wanting to keep abortion says more about what they are not saying now,usher_206,,Pro-life
QEZAEMV2WF9D,27c5c299-9707-4312-8df2-e89a51c48781,0a7bea1d-38b2-4628-8e23-61dd43bf533e,false,,1540795987232337924,@bgilman66 @RealPaigeWWE You desperately resorted to a scenario that absolutely no one's seriously advocating for.… https://t.co/0aJylAaONW,_blackor_white_,"Just a good ole American citizen here, often talking about politics, wrestling, current events, and any other aspects of geek culture.",Pro-choice
T3RMAEPRMD6J,ae31034e-5b40-4b3f-9065-474471306e0b,0a7d56c1-b953-4a3b-bfef-ebe99728946e,false,,1540796030928576512,"@POTUS DO YOUR JOB

PROTECT AMERICAN WOMEN

CODIFY ROE v WADE

#CodifyRoeVWade
#CodifyRoe
#RoeVsWade

OR... go home… https://t.co/8UOS3bNl9U",DistantUsa,"Veteran, mother, nomad. I believe in democracy if we can keep it.",Pro-choice
FPMCK2P37RW2,0b57f4fc-6519-412e-991c-614fb5d05d0b,0acca874-fad1-4f50-a894-b5992f4cdbba,false,,1540796211904389121,p4 I have no self righteous opinion to share about my personal views on abortion.  My heart feels a little broken r… https://t.co/ttdSjtgmK1,emmolivia,"just a soul visiting earth & having a human experience , 3 Солнца 3 Луны .",Pro-choice
Z6J69GNZYEXY,c5c00c08-cd1a-4c8d-9b32-289e6cf67cdf,0ae791a3-a4c1-4812-927c-30cc559257cc,false,,1540796657721171969,going to [redacted] the [redacted] of every man trying to “overturning roe v wade is a huge setback for women’s rig… https://t.co/3FhBmacVcT,ihcarama,female writer (derogatory),Pro-choice
FPMCK2P37RW2,113854a7-52d1-42d8-a263-023401e4d192,0b46ce95-5696-4af9-9eca-288808af3d9f,false,,1540795880743309313,@RHeadland @emreistvergeben @nunnas22 @GovTimWalz The Supreme Court simply stated that the 73 decision was wrong. A… https://t.co/oxRCakL6vo,brianMurle,retired Firefighter…my pronouns are decided by the genitalia I was born with like every other person. my adjective is alpha,Pro-life
QEZAEMV2WF9D,ac3e8ab2-2df6-46e3-b914-94f42e23ee50,0bdcf06b-cd11-4345-a60b-8066bcaa5342,false,,1540795784123129856,"@MayoIsSpicyy Have zero respect for any woman that does not vote on their state to repeal last scotus stay, as male… https://t.co/VJfYAdFoBG",Ar7002004Romero,,Pro-choice
RP7MDHXYNRPN,3e2b5653-5a24-4ca2-872a-8938554bffa9,0be6f6cd-1a5e-461b-a449-87cfcad65e59,false,,1540795839068524545,@SarahTheWoodDuk @DeeMarie308 @ibangel This is so rare!  But in those cases that is a true medical emergency!  Quit… https://t.co/DCONWRFAbG,MUSICBYARRIVAL,,Pro-life
AMXMPYF9CYAJ,a430876d-a5ad-45eb-ab90-b90a042b1ff7,0c19ec9d-e400-4853-b905-13b25b81b51e,false,,1540795730545238016,"@jakob_eichhorn @ELINTNews They’re not openly defying anything. They follow federal laws, and there is no federal law banning abortion.",NYtoCO1234,The city is my church,Pro-choice
VNAQPVX4R36A,9f12d302-99c1-4ad5-8e65-188f40860b9e,0c3ab943-c44b-49b8-9478-0ee74b77185f,false,,1540793875941363715,"All the men and women upset and hyperventilating about the end of roe v Wade should seek asylum in Canada, Mexico o… https://t.co/mEsyAvRwXb",UtahSnyder,"#Ch_JesusChrist, Married, Father, Navy Veteran, #Education, History Enthusiast. Working on being a better digital citizen. It's not going well. 🤷‍♂️",Pro-life
R7XYZ4FKMFF9,0feb63a9-82db-4fc5-83fe-979858d75ed6,0c41f06b-e46e-4803-b944-70a1755d168f,false,,1540796192665108480,"@LeahKonen @svyantek I've never been pregnant, never wanted to be, &amp; now it's not possible. I get the impression a… https://t.co/Pb2OvSWw1C",Kathy_Fraggle,"She/HerAlmost totally blind eclectic Pagan of many interests, Muppets, cartoons Star Trek to name a few. Reader of fanfiction. Always happy to meet new friends!",Pro-choice
Z6J69GNZYEXY,0831118b-9c99-4c6a-9213-268d61e44c3b,0c519649-77fc-4eda-9494-54997f379555,false,,1540795858194661377,"A person is pregnant. They are not prepared to raise a child, go through the adoption process, or otherwise just ha… https://t.co/XwUXPOz6qw",QSKSw,"🐱 Disabled Plural Transfem Polyamorous Pansexual Lesbian Pizza Cats

🐱 Pronouns: They/Them/Cats

🐱 Not affiliated with The Lego Group",Pro-choice
XJKGQQWFXKTX,3546fe44-fa92-447a-a042-6efc81598bdd,0c7d4f56-01cb-4db7-9184-fbe5aeaeb4ba,false,,1540796041372389376,Mfw abortion got legalized in my cool ass country 😎,little_agnle,gods perfect little angle,Pro-choice
R7XYZ4FKMFF9,b5479d51-4f6e-48a2-83f0-72b6e5e203e6,0cba57cb-bc68-4d13-af50-07606d05059e,false,,1540796099144732672,"@Mystigon2 @ElijahSchaffer Dude come on. Although thats very funny this is not something to make a joke of. 
If you… https://t.co/bUG5wCVk2f",XSpark10,,Pro-choice
XKEQPPFJWHY9,eef8df49-37d5-456a-8c2b-5fff6c92c80d,0cfeece0-c288-42fd-ac73-36f435d6cd0c,false,,1540796083168858114,@JohnCleese the separation of church and state has nothing to do with the fact that the right to an abortion isn't in the constitution,jer2911tx,"Dr Pepper, bacon, & vodka are my friends. i love Jesus, but i drink a little. Aggie, vet, Dallas patent attorney, and Oxford comma fan. BS, MS, JD",Pro-life
4TG67HVWJNDP,44274135-4a15-463a-8875-d445a4ea9df4,0d0296da-a40c-435f-9e53-8543864af5d6,false,,1540796490406195200,@tdzarnick @GeneralBrnovich And keeping Roe v Wade will result in more fetal deaths. So I’m ok with it being overtu… https://t.co/01WzEgNaC9,tinbullet,I came here to see if Twitter can make me less sarcastic. Doubt it,Pro-life
73FP3QEHRD7V,eb2986a0-6dbc-4e3e-af26-a55d02a7ae58,0d3e2f0f-43e4-4f82-aa67-85f0278e050c,false,,1540795058647171072,"@SenBillCassidy You're with the party that just canceled Roe v. Wade, right?  You're not trying to distract from th… https://t.co/7oM3qfVFqE",mfahearn,A He/Him Nattering Nabob of Negativism,Pro-choice
RP7MDHXYNRPN,e4249989-44df-420f-8a90-2a32fdd24491,0d523c91-aa8a-4ac8-98b6-b0cc897f3194,false,,1540796107894177792,"@POTUS open abortion clinics on federal land in every state within the next month.

Less talk more action.",cameirus,"Not allowed political views on my named account, so here is where I vent anonymously.",Pro-choice
QEZAEMV2WF9D,c8937cf6-a733-492b-aaeb-c68c32a56ff1,0d98d9bf-5bf1-40cb-8563-a49fee712413,false,,1540796381123620864,Roe V. Wade case was the case that had changed everything up until yesterday. Even though Roe turned Pro-Life after… https://t.co/J0Ft8gaphy,JustNowPolitics,,Pro-choice
R7XYZ4FKMFF9,d83d7202-d332-4e82-b43e-b2d4d48946f2,0e3cb64d-efcb-4bc9-97ef-6669562d9877,false,,1540795754289057793,"Soon, if not already, someone who needs an abortion in Brownsville, TX, will need to travel 1,140 miles - that's ov… https://t.co/plEJqVpJyr",philgoldstein,Poet. Author of HOW TO BURY A BOY AT SEA (@StillhousePress). Editor & Copywriter for @AWS Product Marketing. Opinions are my own. He/Him,Pro-choice
XJKGQQWFXKTX,ceed74df-1bde-4b80-aaff-f10a5aa2885b,0e651422-45c4-4c5f-9626-4bb357ba1a6d,false,,1540795913110552576,@ELFitz6 @russ_seton @Jokerstars_CEO @Jeff_Cotto_ @mhdksafa Yeah but you wanted the kid right? Not everyone wants c… https://t.co/wbKAQ9OQ3z,nonb1naryh0es,Satan loves you 🖤,Pro-choice
7ZGW996YFZ6X,44d6ae2a-8798-414b-8017-5dd948b91824,0eab0d6f-cb44-435b-b476-0148e59a92cc,false,,1540794937771433986,Hey just a thought: if you celebrated roe v. wade being overturned yesterday but you are not actively working towar… https://t.co/Bp83wlJjH3,pioneerfires,"// musician // lover of people, well made jeans, and manchester united // clear eyes, full hearts //",Pro-choice
FPMCK2P37RW2,13243d39-ce0c-41f3-99e4-e968b86be38d,0eb1865a-4be2-42b3-a3bc-0b8dd98dee79,false,,1540795043945930752,@SenatorCollins @SenatorSinema @lisamurkowski @Sen_JoeManchin - Will at least two of you carve-out an exception to… https://t.co/0CZg6N1QIt,garg,"Illustrator / Programmer
Mastodon: https://t.co/JDi3MG0aXL",Pro-choice
Z6J69GNZYEXY,3d7ffd95-836f-42a3-9e4d-a9f631a88232,0ebb6b46-9d16-42d8-a2cb-0c3947909f83,false,,1540795302243774465,Roe vs Wade &amp; state of Democracy #abortionisahumanright #abortioncareishealthcare #abortionrightsarehumanrights… https://t.co/wOXLBKG2pA,DrSSRawat4,UK Trained Family Physician based in Canada,Pro-choice
C69D7VD39FKM,ec0949b0-895e-4ce0-8e48-c39d3ba2439a,0f00ac81-8c09-4e01-b0ac-75b4411c7b39,false,,1540796473696309249,Welcome to equality women where just like a man you can not leave or desert the child with consent from the other p… https://t.co/d7CDclV9Hw,VanillaTwigXXL,"You have to believe in order to succeed 
Snapchat: VanillatwigXXL",Pro-life
VNAQPVX4R36A,ccd76a97-3e49-4b32-8e0e-a5f0d432fe1f,0f082b07-f61d-4d22-926f-1686f580f514,false,,1540784595771293696,OMG as if the LBGTQXyzabcdsd  can’t spew enough BS already there new mantra now since Roe V Wade was turned back ri… https://t.co/cbzJNOzesy,bethbur97689252,"Lover of Liberty, and Justice , Auburn Football, and  cutting through all the BS 🇺🇸",Pro-life
6CNHTCG6W6XM,ac1f7dfc-7d01-418f-b893-181e4f4f674e,0f16001d-6e61-4053-8456-83281d52ebf9,false,,1540795892000854016,@DanielH77452497 @NikaMelkozerova Republicans want to make the ban on abortion national law if they take back Congr… https://t.co/oHBPu3e9Mu,April_AWZ,"April_Z on https://t.co/oAXk43u5mX   
#blockedbyaraud

just chillin' with the wolves in the woods of northeastern Minnesota. 🌲🐺🌲

Слава Україні!",Pro-choice
VPA49GVE9GAV,6a7460c3-a7ef-48ff-9c00-3900b2d4cb0a,0f23e799-182d-40a0-92ce-35c857e9b46b,false,,1540795705215819776,@jitobear @ambercb7 @BigRonJohnston @drebelo5 @KristianKWalker @777jorgeivan I’ll accept whatever consequences I’ll… https://t.co/AvXxMS6eLi,im_autism,#ForTheA #WarEagle #WeAllBleedBlue,Pro-life
73FP3QEHRD7V,14ac0883-c6a1-487b-a859-3d6cb5323a02,0f3b83bf-f656-4d10-a9a1-624135520ee0,false,,1540796074385973258,This Supreme Court overturning Roe v. Wade have now shown their preference for the version of the Constitution and… https://t.co/8MKZ3bQ7TM,LimiBauer,"Innovative educator on a quest of identity through writing, art, and travel.",Pro-choice
2AZWNZRTVACE,4ffc0d8b-572f-4c98-a076-05b14a6dfc33,0f7cb0dd-025e-411c-b212-afd47b722d0a,false,,1540795960602767362,@greymanbuffalo @Bills_Chick We don’t have a choice to either have an abortion or go to college. We can’t choose ab… https://t.co/ppmdnBumev,Jecausta,Carbon-based earth-dweller.,Pro-choice
73FP3QEHRD7V,031eb53e-08a3-4e6b-80e4-9c4ac04f3482,0fa52414-71b5-4cb9-9fce-3cd37c4b250d,false,,1540795997864964096,Kamala Harris On SCOTUS Abortion Ruling: “This Is Not Over”; Fox News &amp; Broadcast Nets Don’t Cover Remarks From Fir… https://t.co/uIcISmP1fg,WhoCares7734,"The Truth, the whole Truth and nothing but the Truth. Clear Logic. Every word must have a meaning. Equal means equal. Revisionists and Cancel Culture are Lies!",Pro-life
AMXMPYF9CYAJ,8fe2dc75-1712-4505-ad49-a56776912919,0fcfe597-714a-46a9-a47c-678d60224c43,false,,1540795256660103168,"if you are pro-life don’t have sex until you are doing it to procreate. using birth control, condoms, or the pull o… https://t.co/J7K65bpMKe",elizkh12,anti-abortion is anti-woman,Pro-choice
73FP3QEHRD7V,f5feb455-8247-4a8c-9c7b-7d84e3cacd07,0fd190e1-d73e-4609-ae4f-9c26e8e3e023,false,,1540794471100678144,"And so it begins. @NAACP 
https://t.co/fhue633yBW",alstatenaacp,"Our mission is to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and discrimination.",Pro-choice
XKEQPPFJWHY9,71d0b26c-8218-436b-8a0e-1712324eb19e,104196e6-2918-4c61-bd95-ec402c16bbae,false,,1540796028420378624,@Stonekettle Old white men thinking surgical treatment for an ectopic pregnancy and miscarriage is an abortion are… https://t.co/gIVnJAzv7Y,CDMaily1,"No one is asking you to be excited and vote BLUE. 
We are just asking for you to vote BLUE so we can accomplish exciting things.",Pro-choice
R7XYZ4FKMFF9,0ec4e1ff-f2dc-4123-b16a-f24e07ca867d,10e7e4b7-b5c1-4765-9dc0-856436118632,false,,1540796163884027905,"One thing that you need to understand is that even if you get abortion back, it's not gonna come back the same.

https://t.co/qdKKFHpk7r",ContentedIndie,"Jewish. Furry. Independent conservative, OG #NeverTrump. Zionist (yes!🖕). Writings in @thenewsblender. I hate the far left and far right. (🥀)",Pro-choice
7R2NKCJQNXPP,52ed5999-df06-4f53-8ed5-0f438bd8b6a7,11244d56-fe2f-440e-a4d9-738a0c3180c2,false,,1540795793296089088,"@MooreintheAM For literally decades there have been anti-abortion activists standing w/ shaming, graphic signs on t… https://t.co/ARp3fFOTgI",EleLee70,"Yes, I was being sarcastic #BLM #MMIW #ODSPoverty ♿✊🏾🏳️‍🌈🧡Opinions mine. I mask & vax because I care.",Pro-choice
QEZAEMV2WF9D,53581097-fdd5-4ece-8c04-3ea26043e0ae,119a6478-b584-408c-a9bb-17cbcc16f9ec,false,,1540794199158792192,"Defense Department to keep access to ""reproductive health care"" after Roe v. Wade's end https://t.co/69V6o9yslA",e_parris7,"Civil Rights, Resistance,Liberal, Democratic
#FBR #Resist #BLM
Been A Twitter Member Since2016 lost account
New Account. I Follow Back",Pro-choice
2AZWNZRTVACE,57c42c4f-125b-4eef-9646-6c0418073413,11dc6f56-1682-498f-a612-0d9bd58c822b,false,,1540796006001848320,@CatherineCRine1 This is a 100% true statement.   The final stages of a society is child sacrifice and abortion is… https://t.co/BwCxdmJ7I1,chastjones1,,Pro-life
WFRWYPY7XZJ9,72bea152-c940-40b1-bad9-542910872d0f,11fb8b69-3895-4b0f-bdb1-18eb43557449,false,,1540784823937236993,You can’t argue with these statistics! And you STILL want to bring children into this world?! SICK! Overturn the ov… https://t.co/HoBtCmnX0M,yuccyboi,,Pro-choice
AMXMPYF9CYAJ,7b791414-8405-4aa4-b206-7152bcfafe04,11fd7c14-8479-4126-a370-ce6e775498d5,false,,1540795759418671107,"@DiamondandSilk The abortion is a epidemic disease and if we read what Margaret Sanger, their objectives are clear. And a lot of shame",MasiaTarazona,Quiero aprender mucho,Pro-life
T3RMAEPRMD6J,a0ace480-a12e-4f2f-a040-bd16dd74108d,120a2c62-2818-4da7-a2a7-d03df153a79f,false,,1540795774644142080,@alchemyjoe @marwilliamson The TRUTH- most men refuse to believe that a lot of women enjoy sexual experiences just… https://t.co/L5kf6UgKEH,gayle_reuben,,Pro-life
R7XYZ4FKMFF9,3e975a62-f5ae-4b13-87d9-43d32415e977,122cd5bd-630a-4a9a-96bc-90aba87de935,false,,1540796560094572544,Minority pregnancies have a mortality rate 3X HIGHER than white pregnancies in the United States. The decision to o… https://t.co/ENXq3NMLz7,the3rdddpete,the party never ends • George 💚 • 𝟡𝟡𝟡 • #ALLABOUT18☘️,Pro-choice
